Symbol,Company Name,Txn Type,Txn Date/Time, Gross Leverage, Net Leverage,# Shares,Price,Txn Value,Portfolio # Shares,Portfolio Value,Commission,Slippage(10BPS),Comments
_CASH,_CASH,Cash Deposit,2008-01-02 16:00:00,,,,,10000.0,,
AAPL,AAPL,Buy,2008-01-03 16:00:00,0.966413699128,0.966413699128,25.0,194.1,4852.5,25.0,9649.81,5.0,4.82,
GOOG,GOOG,Buy,2008-01-03 16:00:00,0.966413699128,0.966413699128,7.0,685.33,4797.31,7.0,9649.81,5.0,4.82,
AAPL,AAPL,Sell,2008-02-01 16:00:00,0.93015847081,0.93015847081,-13.0,133.18,-1731.34,12.0,6757.16,5.0,1.64,
GOOG,GOOG,Buy,2008-02-01 16:00:00,0.93015847081,0.93015847081,3.0,515.9,1547.7,10.0,6757.16,5.0,1.64,
AAPL,AAPL,Buy,2008-03-03 16:00:00,0.918143656844,0.918143656844,11.0,121.21,1333.31,23.0,5986.97,5.0,1.35,
GOOG,GOOG,Sell,2008-03-03 16:00:00,0.918143656844,0.918143656844,-3.0,457.02,-1371.06,7.0,5986.97,5.0,1.35,
AAPL,AAPL,Buy,2008-04-01 16:00:00,0.96092712618,0.96092712618,11.0,148.89,1637.79,34.0,6925.1,5.0,1.52,
GOOG,GOOG,Sell,2008-04-01 16:00:00,0.96092712618,0.96092712618,-3.0,465.71,-1397.13,4.0,6925.1,5.0,1.52,
AAPL,AAPL,Sell,2008-05-01 16:00:00,0.934312402155,0.934312402155,-5.0,179.23,-896.15,29.0,8163.07,5.0,0.74,
GOOG,GOOG,Buy,2008-05-01 16:00:00,0.934312402155,0.934312402155,1.0,593.08,593.08,5.0,8163.07,5.0,0.74,
AAPL,AAPL,Sell,2008-06-02 16:00:00,0.932811603477,0.932811603477,-25.0,185.3,-4632.5,4.0,8216.2,5.0,4.62,
GOOG,GOOG,Buy,2008-06-02 16:00:00,0.932811603477,0.932811603477,8.0,575.0,4600.0,13.0,8216.2,5.0,4.62,
AAPL,AAPL,Buy,2008-07-01 16:00:00,1.00483890521,1.00483890521,22.0,173.93,3826.46,26.0,8265.29,5.0,3.52,
GOOG,GOOG,Sell,2008-07-01 16:00:00,1.00483890521,1.00483890521,-6.0,534.73,-3208.38,7.0,8265.29,5.0,3.52,
AAPL,AAPL,Sell,2008-08-01 16:00:00,0.963350408418,0.963350408418,-2.0,155.99,-311.98,24.0,7018.78,5.0,0.16,
AAPL,AAPL,Buy,2008-09-02 16:00:00,0.960459283503,0.960459283503,11.0,165.48,1820.28,35.0,7187.55,5.0,1.84,
GOOG,GOOG,Sell,2008-09-02 16:00:00,0.960459283503,0.960459283503,-4.0,465.25,-1861.0,3.0,7187.55,5.0,1.84,
AAPL,AAPL,Sell,2008-10-01 16:00:00,0.949807585162,0.949807585162,-15.0,108.65,-1629.75,20.0,5055.04,5.0,1.64,
GOOG,GOOG,Buy,2008-10-01 16:00:00,0.949807585162,0.949807585162,4.0,411.72,1646.88,7.0,5055.04,5.0,1.64,
AAPL,AAPL,Sell,2008-11-03 16:00:00,0.963595262294,0.963595262294,-9.0,106.5,-958.5,11.0,4636.4,5.0,1.0,
